book_links,book_title,book_author,book_prices,book_img_urls
,,,,
https://diwanegypt.com/product/%d8%b1%d8%a7%d9%82%d8%b5%d8%a7%d8%aa-%d9%85%d8%b5%d8%b1/,راقصات مصر,جليل البندارى,EGP110.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778212952-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b7%d9%87-%d8%a7%d9%84%d8%b0%d9%8a-%d8%b1%d8%a3%d9%89/,طه الذي رأى,حمدى البطران,EGP130.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778212921-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d8%b3%d9%85%d9%8a-%d9%85%d8%b5%d8%b7%d9%81%d9%89-%d9%85%d8%ad%d9%85%d9%88%d8%af/,اسمي مصطفى محمود,وائل لطفى,EGP150.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778212914-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%82%d8%b5%d8%a9-%d8%a7%d9%84%d8%a3%d8%ae%d8%b1%d9%89/,القصة الأخرى,فاطمة البنوي,EGP450.00,https://diwanegypt.com/wp-content/uploads/2022/12/9786030363391-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%a3%d8%b1%d9%85%d9%84%d8%a9-%d8%aa%d9%83%d8%aa%d8%a8-%d8%a7%d9%84%d8%ae%d8%b7%d8%a7%d8%a8%d8%a7%d8%aa-%d8%b3%d8%b1%d8%a7/,الأرملة تكتب الخطابات سرا,طارق امام,EGP35.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937761-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%81%d9%87%d8%a7%d9%85%d8%a9/,الفهامة,شهاب الخشاب,EGP270.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778639711-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b3%d9%8a%d8%af%d8%a9-%d8%a7%d9%84%d9%82%d8%b5%d8%b1/,سيدة القصر,سهير عبد الحميد,EGP100.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778635812-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%83%d9%84-%d8%af%d8%a7-%d9%83%d8%a7%d9%86-%d9%84%d9%8a%d9%87%d8%9f/,كل دا كان ليه؟,فيروز كراوية,EGP270.00,https://diwanegypt.com/wp-content/uploads/2022/12/Final-Front-Cover-Koleda-Kan-Leh-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%85%d8%ae%d8%b7%d9%88%d8%b7%d8%a9-%d8%a7%d9%84%d9%85%d9%87%d8%a7%d8%ac%d8%b1/,مخطوطة المهاجر,رمضان عبد اللطيف,EGP110.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789777953917.jpg
,,,,
https://diwanegypt.com/product/%d8%b3%d9%8a%d8%af-%d9%88%d8%a7%d9%84%d8%b9%d8%b5%d8%a7%d8%a8%d8%a9/,سيد والعصابة,ولاء كمال,EGP150.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789777953887-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%88%d8%ac%d9%88%d8%af-%d9%88%d8%ba%d9%8a%d8%a7%d8%a8/,وجود وغياب,هدير المهدوي/ميجو,EGP140.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139322-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%ac%d8%a7%d8%b3%d9%88%d8%b3-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a/,الجاسوس الإنجليزي,مجدى الشافعى,EGP165.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139315-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b9%d9%84%d9%89-%d8%ae%d8%b7%d9%8a-%d9%85%d8%a7%d8%b1%d9%8a%d9%8a%d8%aa/,على خطي مارييت,فينوك,EGP100.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139278-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%b9%d8%a8%d9%88%d8%b1/,العبور,كليمنت بورد,EGP290.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139254-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%ad%d8%af%d8%ab%d8%aa%d9%86%d9%8a-%d9%88%d9%82%d8%a7%d9%84%d8%aa/,حدثتني وقالت,ايناس خنسه&لينا مرهج,EGP95.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139247-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%ad%d8%af%d8%a7%d8%a6%d9%82-%d8%a8%d8%a7%d8%a8%d9%84/,حدائق بابل,نيكولا بريل,EGP290.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773139230-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%ad%d8%b1%d8%a7%d8%b3/,الحراس,الان موور&ديف جيبونز,EGP390.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773138882-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%85%d8%aa%d8%b1%d9%88/,مترو,مجدى الشافعى,EGP120.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789773138714-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b2%d9%82%d8%a7%d9%82-%d8%a7%d9%84%d9%85%d8%af%d9%82/,زقاق المدق,نجيب محفوظ,EGP150.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778616293-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a8%d8%af%d8%a7%d9%8a%d8%a9-%d9%88%d9%86%d9%87%d8%a7%d9%8a%d8%a9/,بداية ونهاية,نجيب محفوظ,EGP175.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778616279-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%ad%d9%8a%d8%a7%d8%a9-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a%d8%a9-%d9%84%d9%82%d8%b3%d8%b7%d9%86%d8%b7%d9%8a%d9%86-%d9%83%d9%81%d8%a7%d9%81%d9%8a%d8%b3/,الحياة الثانية لقسطنطين كفافيس,طارق امام,EGP340.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937754-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a3%d9%86%d8%a7-%d9%82%d8%a7%d8%af%d9%85-%d8%a3%d9%8a%d9%87%d8%a7-%d8%a7%d9%84%d8%b6%d9%88%d8%a1/,أنا قادم أيها الضوء,محمد ابو الغيط,EGP170.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937990-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%ae%d8%a7%d9%86-%d8%a7%d9%84%d8%ae%d9%84%d9%8a%d9%84%d9%8a/,خان الخليلي,نجيب محفوظ,EGP135.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778616286-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d8%a9-%d8%a7%d9%84%d8%ac%d8%af%d9%8a%d8%af%d8%a9/,القاهرة الجديدة,نجيب محفوظ,EGP125.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789778616262-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a3%d8%b1%d8%a8%d8%b9-%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%ad%d9%8a%d8%a7%d8%a9/,أربع محاولات للحياة,احمد عبد المجيد & نشوى صلاح,EGP115.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937501-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a8%d8%b9%d8%af-1897-%d8%b5%d8%a7%d8%ad%d8%a8-%d8%a7%d9%84%d9%85%d8%af%d9%8a%d9%86%d8%a9/,بعد 1897 صاحب المدينة,وجدى الكومى,EGP300.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789774906541-450x600.jpeg
,,,,
https://diwanegypt.com/product/%d8%af%d9%83%d8%a7%d9%83%d9%8a%d9%86-%d8%aa%d8%ba%d9%84%d9%82-%d8%a3%d8%a8%d9%88%d8%a7%d8%a8%d9%87%d8%a7/,دكاكين تغلق أبوابها,كمال رحيم,EGP130.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789774906503-450x600.jpeg
,,,,
https://diwanegypt.com/product/%d8%ac%d8%a8%d9%84-%d8%a7%d9%84%d8%b2%d9%85%d8%b1%d8%af/,جبل الزمرد,منصورة عز الدين,EGP165.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937853-450x600.jpeg
,,,,
https://diwanegypt.com/product/%d9%87%d8%af%d9%88%d8%a1-%d8%a7%d9%84%d9%82%d8%aa%d9%84%d8%a9/,هدوء القتلة,طارق امام,EGP70.00,https://diwanegypt.com/wp-content/uploads/2022/12/9789770937778-430x600.jpeg
,,,,
https://diwanegypt.com/product/%d9%87%d9%83%d8%b0%d8%a7-%d8%a3%d9%81%d9%83%d8%b1/,هكذا أفكر,عارف حجاوى,EGP140.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776459519-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%87%d9%83%d8%b0%d8%a7-%d8%a3%d9%83%d8%aa%d8%a8/,هكذا أكتب,عارف حجاوى,EGP140.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776459502-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%85%d9%88%d8%af%d8%a9-%d8%a7%d9%84%d8%ba%d8%b1%d8%a8%d8%a7%d8%a1/,مودة الغرباء,محمد عبد العزيز الهجين,EGP140.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776459496-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%81%d8%aa%d8%a7%d8%a9-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d9%82%d8%a7%d9%84/,فتاة البرتقال,جوستاين غاردر,EGP423.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789188356932-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%b4%d8%b1%d8%a7%d9%82-2/,الاستشراق,ادوارد سعيد,EGP320.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789778616255-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b4%d9%88%d8%a7%d8%b1%d8%b9-%d9%84%d9%87%d8%a7-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae-2/,شوارع لها تاريخ,عباس الطرابيلى,EGP120.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789777953108-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%81%d9%84%d8%a7%d8%b7%d9%88%d9%86-%d9%88-%d8%a7%d9%84%d9%85%d9%84%d9%83%d8%a9/,افلاطون و الملكة,ميلانيا ماتزوكو,EGP50.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532205-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%aa%d8%b4%d9%83%d9%8a%d9%84/,نظرية التشكيل,بول كيلى,EGP450.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532199-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%84%d8%ad%d8%b8%d8%a7%d8%aa-%d9%85%d9%86-%d9%87%d9%85%d9%88%d9%85-%d8%b2%d8%a7%d8%a6%d9%84%d8%a9/,لحظات من هموم زائلة,فرانشيسكو بيكولو,EGP70.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776532182-450x600.jpg
,,,,
